exchange,ticker,year1,year2
NASDAQ,AAON,2019,2020
NASDAQ,AAON,2020,2021
NASDAQ,AAON,2021,2022
NASDAQ,ADSK,2011,2012
NASDAQ,ADSK,2012,2013
NASDAQ,ADSK,2013,2014
NASDAQ,ADSK,2014,2015
NASDAQ,ALKS,2019,2020
NASDAQ,AMD,2011,2012
NASDAQ,AMD,2014,2015
NASDAQ,AMD,2020,2021
NASDAQ,AMD,2021,2022
NASDAQ,AMZN,2019,2020
NASDAQ,AMZN,2020,2021
NASDAQ,AMZN,2021,2022
NASDAQ,BRKS,2019,2020
NASDAQ,BRKS,2020,2021
NASDAQ,CRMT,2021,2022
NASDAQ,CTAS,2021,2022
NASDAQ,CVLT,2020,2021
NASDAQ,CVLT,2021,2022
NASDAQ,CZR,2015,2016
NASDAQ,CZR,2016,2017
NASDAQ,CZR,2017,2018
NASDAQ,CZR,2018,2019
NASDAQ,CZR,2019,2020
NASDAQ,CZR,2020,2021
NASDAQ,CZR,2021,2022
NASDAQ,DECK,2016,2017
NASDAQ,DECK,2017,2018
NASDAQ,DECK,2018,2019
NASDAQ,DECK,2021,2022
NASDAQ,HSIC,2019,2020
NASDAQ,HSIC,2020,2021
NASDAQ,HWKN,2020,2021
NASDAQ,INTC,2018,2019
NASDAQ,INTC,2019,2020
NASDAQ,INTC,2020,2021
NASDAQ,INTC,2021,2022
NASDAQ,ISRG,2019,2020
NASDAQ,ISRG,2020,2021
NASDAQ,JBLU,2019,2020
NASDAQ,KLIC,2018,2019
NASDAQ,KLIC,2019,2020
NASDAQ,LNDC,2019,2020
NASDAQ,LNDC,2020,2021
NASDAQ,LRCX,2018,2019
NASDAQ,LRCX,2019,2020
NASDAQ,MSFT,2018,2019
NASDAQ,OTEX,2020,2021
NASDAQ,PAYX,2019,2020
NASDAQ,PAYX,2020,2021
NASDAQ,PAYX,2021,2022
NASDAQ,PTC,2018,2019
NASDAQ,QCOM,2006,2007
NASDAQ,QCOM,2007,2008
NASDAQ,QCOM,2008,2009
NASDAQ,QCOM,2011,2012
NASDAQ,QCOM,2012,2013
NASDAQ,QCOM,2013,2014
NASDAQ,QCOM,2014,2015
NASDAQ,QCOM,2015,2016
NASDAQ,QCOM,2016,2017
NASDAQ,QCOM,2017,2018
NASDAQ,QCOM,2018,2019
NASDAQ,QCOM,2019,2020
NASDAQ,QCOM,2020,2021
NASDAQ,RBBN,2020,2021
NASDAQ,RBBN,2021,2022
NASDAQ,ROST,2020,2021
NASDAQ,SCHN,2018,2019
NASDAQ,SCHN,2019,2020
NASDAQ,SCHN,2020,2021
NASDAQ,UNFI,2011,2012
NASDAQ,VREX,2019,2020
NASDAQ,VRTU,2018,2019
NASDAQ,VRTU,2021,2022
NASDAQ,XLNX,2016,2017
NASDAQ,XLNX,2019,2020
NYSE,JBL,2019,2021
NYSE,LND,2014,2015
NYSE,LND,2015,2016
NYSE,LND,2020,2021
