exchange,ticker,year1,year2,GWscore_year1,GWscore_year2,GWscore_diff
NASDAQ,AAON,2019,2020,3.8284758699999983,6.211470860000006,2.3829949900000074
NASDAQ,AAON,2020,2021,6.211470860000006,3.948939020000005,2.2625318400000007
NASDAQ,AAON,2021,2022,3.948939020000005,8.713776850000002,4.764837829999998
NASDAQ,ADSK,2011,2012,12.434044880000002,13.616088500000004,1.1820436200000017
NASDAQ,ADSK,2012,2013,13.616088500000004,18.26070446,4.644615959999996
NASDAQ,ADSK,2013,2014,18.26070446,21.404091000000008,3.1433865400000087
NASDAQ,ADSK,2014,2015,21.404091000000008,18.53745399999999,2.8666370000000185
NASDAQ,ALKS,2019,2020,11.420792079999998,8.355699790000003,3.0650922899999955
NASDAQ,AMZN,2019,2020,35.11607658999999,33.47284693,1.6432296599999887
NASDAQ,AMZN,2020,2021,33.47284693,25.08083773000001,8.392009199999993
NASDAQ,AMZN,2021,2022,25.08083773000001,23.26168818,1.8191495500000094
NASDAQ,CRMT,2021,2022,4.588526639999998,18.95315174,14.364625100000001
NASDAQ,CTAS,2021,2022,10.783897500000002,19.557831529999994,8.773934029999992
NASDAQ,DECK,2016,2017,11.201845009999992,12.884797240000005,1.6829522300000122
NASDAQ,DECK,2017,2018,12.884797240000005,9.051548020000006,3.833249219999999
NASDAQ,DECK,2018,2019,9.051548020000006,9.716838880000005,0.6652908599999989
NASDAQ,DECK,2021,2022,16.92050261,14.332917440000005,2.587585169999995
NASDAQ,HWKN,2020,2021,1.311575850000004,16.35209784,15.040521989999995
NASDAQ,INTC,2018,2019,13.552662319999996,14.23913616,0.6864738400000032
NASDAQ,INTC,2019,2020,14.23913616,12.88291341,1.3562227499999988
NASDAQ,INTC,2020,2021,12.88291341,10.371363099999996,2.511550310000004
NASDAQ,INTC,2021,2022,10.371363099999996,17.520946569999992,7.149583469999996
NASDAQ,JBLU,2019,2020,5.687404049999998,-0.4642223399999992,6.151626389999997
NASDAQ,LRCX,2018,2019,5.707468879999993,3.4061867400000025,2.3012821399999908
NASDAQ,LRCX,2019,2020,3.4061867400000025,8.015279729999996,4.6090929899999935
NASDAQ,PAYX,2019,2020,4.69860027,6.2598863300000005,1.5612860600000005
NASDAQ,PAYX,2020,2021,6.2598863300000005,8.909760679999998,2.6498743499999975
NASDAQ,PAYX,2021,2022,8.909760679999998,12.054313039999997,3.1445523599999987
NASDAQ,PTC,2018,2019,3.5725263599999977,-11.05495053,14.627476889999997
NASDAQ,QCOM,2006,2007,-16.75064795,6.343627190000003,23.094275140000004
NASDAQ,QCOM,2007,2008,6.343627190000003,11.31954873,4.975921539999996
NASDAQ,QCOM,2008,2009,11.31954873,3.035671230000005,8.283877499999994
NASDAQ,QCOM,2011,2012,10.624329009999997,18.88525504,8.260926030000004
NASDAQ,QCOM,2012,2013,18.88525504,22.85937103,3.974115989999998
NASDAQ,QCOM,2013,2014,22.85937103,7.846752219999999,15.01261881
NASDAQ,QCOM,2014,2015,7.846752219999999,11.176596689999997,3.3298444699999976
NASDAQ,QCOM,2015,2016,11.176596689999997,10.497909139999996,0.6786875500000011
NASDAQ,QCOM,2016,2017,10.497909139999996,8.051370380000002,2.446538759999994
NASDAQ,QCOM,2017,2018,8.051370380000002,-4.161587470000001,12.212957850000002
NASDAQ,QCOM,2018,2019,-4.161587470000001,1.9999234999999944,6.161510969999995
NASDAQ,QCOM,2019,2020,1.9999234999999944,2.1801092200000056,0.1801857200000112
NASDAQ,QCOM,2020,2021,2.1801092200000056,1.2494219999999956,0.93068722000001
NASDAQ,RBBN,2020,2021,60.60116111,67.80277283000001,7.20161172000001
NASDAQ,RBBN,2021,2022,67.80277283000001,69.29780202,1.4950291899999968
NASDAQ,ROST,2020,2021,-3.950059170000003,12.144544339999996,16.09460351
NASDAQ,UNFI,2011,2012,28.04585174,22.45983223,5.58601951
NASDAQ,VREX,2019,2020,-13.875328009999995,4.950571569999994,18.82589957999999
NYSE,JBL,2019,2021,17.45307298000001,9.766391510000004,7.686681470000005
