ticker,in_SP500
MMM,True
ABT,True
ABBV,True
ACN,True
AFL,True
A,True
APD,True
ALB,True
ARE,True
LNT,True
ALL,True
MO,True
AEE,True
AEP,True
AXP,True
AIG,True
AMT,True
AWK,True
AMP,True
AME,True
APH,True
AOS,True
AON,True
APA,True
APO,True
APTV,True
ADM,True
ANET,True
AJG,True
AIZ,True
T,True
ATO,True
ADP,True
AZO,True
AVB,True
BKR,True
BK,True
BAX,True
BDX,True
BBY,True
BA,True
BWA,True
BXP,True
BSX,True
BMY,True
BR,True
BG,True
CPT,True
CPB,True
COF,True
CAH,True
KMX,True
CCL,True
CAT,True
CBRE,True
CNP,True
CF,True
CVX,True
CMG,True
CB,True
CHD,True
CI,True
C,True
CFG,True
CMS,True
KO,True
CL,True
CAG,True
COP,True
ED,True
STZ,True
COO,True
COR,True
GLW,True
CCI,True
CMI,True
CVS,True
DHR,True
DE,True
DELL,True
DAL,True
DVN,True
DLR,True
DFS,True
D,True
DPZ,True
DTE,True
DUK,True
DD,True
EMN,True
ETN,True
ECL,True
EIX,True
EW,True
LLY,True
EOG,True
EQT,True
EFX,True
EQR,True
ESS,True
EL,True
EVRG,True
ES,True
EXC,True
EXR,True
XOM,True
FDS,True
FRT,True
FDX,True
FMC,True
F,True
FTV,True
FCX,True
IT,True
GD,True
GIS,True
GM,True
GPC,True
GPN,True
GL,True
GS,True
HIG,True
HAS,True
HES,True
HPE,True
HLT,True
HON,True
HRL,True
HST,True
HWM,True
HUM,True
HBAN,True
IEX,True
ITW,True
ICE,True
IBM,True
IFF,True
IP,True
IPG,True
IVZ,True
IQV,True
IRM,True
JBL,True
JNJ,True
JCI,True
JPM,True
K,True
KEY,True
KEYS,True
KMB,True
KIM,True
KMI,True
KKR,True
LH,True
LW,True
LVS,True
LDOS,True
LII,True
LIN,True
LMT,True
L,True
LOW,True
LYB,True
MTB,True
MPC,True
MMC,True
MLM,True
MAS,True
MA,True
MKC,True
MCD,True
MCK,True
MRK,True
MET,True
MTD,True
MGM,True
MU,True
MAA,True
MHK,True
MCO,True
MS,True
MOS,True
MSI,True
NEM,True
NEE,True
NKE,True
NI,True
NSC,True
NOC,True
NRG,True
OMC,True
OKE,True
ORCL,True
PKG,True
PH,True
PAYC,True
PNR,True
PEP,True
PFE,True
PCG,True
PM,True
PSX,True
DOC,True
PNW,True
PNC,True
PPG,True
PPL,True
PG,True
PGR,True
PLD,True
PRU,True
PEG,True
PSA,True
PHM,True
PWR,True
DGX,True
RL,True
RTX,True
O,True
REG,True
RF,True
RSG,True
RMD,True
ROK,True
ROL,True
RCL,True
SPGI,True
SLB,True
SRE,True
NOW,True
SPG,True
SO,True
SWK,True
STT,True
SYK,True
SYF,True
SYY,True
TPR,True
TGT,True
TEL,True
TFX,True
TXT,True
AES,True
DOW,True
HSY,True
HD,True
SJM,True
KR,True
SHW,True
TJX,True
TRV,True
TMO,True
TT,True
TFC,True
TYL,True
TSN,True
USB,True
UDR,True
UNP,True
UPS,True
URI,True
UNH,True
VLO,True
VTR,True
VZ,True
VICI,True
V,True
VST,True
VMC,True
WRB,True
GWW,True
WMT,True
DIS,True
WM,True
WAT,True
WEC,True
WFC,True
WELL,True
WST,True
WAB,True
WMB,True
WDAY,True
XYL,True
YUM,True
ZBH,True
AAPL,True
ADBE,True
ADI,True
AMZN,True
AMGN,True
ADSK,True
AKAM,True
AMAT,True
AMD,True
ACGL,True
ANSS,True
AVGO,True
AXON,True
BIIB,True
BKNG,True
CDNS,True
CHRW,True
CZR,True
CBOE,True
CINF,True
CTAS,True
CME,True
CSCO,True
CMCSA,True
COST,True
CSX,True
DECK,True
DXCM,True
FANG,True
DLTR,True
EBAY,True
EQIX,True
EXPD,True
FITB,True
FSLR,True
GOOG,True
HSIC,True
HOLX,True
IDXX,True
GRMN,True
INTC,True
INTU,True
ISRG,True
JNPR,True
KDP,True
KLAC,True
LRCX,True
MCHP,True
MKTX,True
MSFT,True
MDLZ,True
NDAQ,True
NTAP,True
NDSN,True
NTRS,True
NCLH,True
NVDA,True
NXPI,True
ON,True
PAYX,True
PYPL,True
PFG,True
PTC,True
QCOM,True
REGN,True
ROST,True
SNPS,True
SBUX,True
STLD,True
STX,True
SWKS,True
TROW,True
TSLA,True
TER,True
KHC,True
TSCO,True
TRMB,True
TXN,True
VRSK,True
VRTX,True
WBA,True
WDC,True
WYNN,True
XEL,True
